Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Create Retailer/input_Retail Name_retailerName""), retailerName)",Chrome 87.0.4280.88,,,2020-12-28 19:38:46,2020-12-28 19:38:46,0.284s,PASSED
"setText(findTestObject(""Object Repository/Create Retailer/input_Owner name_retailerOwner""), retailerOwner)",Chrome 87.0.4280.88,,,2020-12-28 19:38:46,2020-12-28 19:38:46,0.298s,PASSED
"selectOptionByLabel(findTestObject(""Create Retailer/select_Counter""), currentRouteCode, true)",Chrome 87.0.4280.88,,,2020-12-28 19:38:46,2020-12-28 19:38:49,2.280s,PASSED
"setText(findTestObject(""Object Repository/Create Retailer/input_Retailer Code_retailerCode""), retailerCode)",Chrome 87.0.4280.88,,,2020-12-28 19:38:49,2020-12-28 19:38:49,0.236s,PASSED
"click(findTestObject(""Object Repository/Create Retailer/button_Save Retailer""))",Chrome 87.0.4280.88,,,2020-12-28 19:38:49,2020-12-28 19:38:49,0.157s,PASSED
com.application.appmanager.create_store_for_mobile_app(),Chrome 87.0.4280.88,,,2020-12-28 19:38:49,2020-12-28 19:38:52,2.630s,PASSED
,,,,,,,
Test Cases/Browse Retailer,Chrome 87.0.4280.88,,,2020-12-28 19:38:57,2020-12-28 19:39:28,31.001s,PASSED
com.application.Auth.loginIntoApplication(),Chrome 87.0.4280.88,,,2020-12-28 19:38:57,2020-12-28 19:39:14,16.930s,PASSED
com.application.appmanager.get_current_route_number(),Chrome 87.0.4280.88,,,2020-12-28 19:39:14,2020-12-28 19:39:14,0.061s,PASSED
"click(findTestObject(""Object Repository/Browse Retailer/a_Retailer""))",Chrome 87.0.4280.88,,,2020-12-28 19:39:14,2020-12-28 19:39:18,4.434s,PASSED
"click(findTestObject(""Object Repository/Browse Retailer/a_Browse Retailer""))",Chrome 87.0.4280.88,,,2020-12-28 19:39:18,2020-12-28 19:39:20,1.298s,PASSED
"selectOptionByLabel(findTestObject(""Browse Retailer/select_Route""), currentRouteCode, true)",Chrome 87.0.4280.88,,,2020-12-28 19:39:20,2020-12-28 19:39:23,2.963s,PASSED
,,,,,,,
Test Cases/Logout,Chrome 87.0.4280.88,,,2020-12-28 19:39:28,2020-12-28 19:39:31,3.161s,PASSED
com.application.Auth.logOutFromApplication(),Chrome 87.0.4280.88,,,2020-12-28 19:39:28,2020-12-28 19:39:31,2.917s,PASSED
